Date,Time,Digital code,Letter code,Unit,Currency name,Price
05.18.2021,00.00,978,EUR,1,Euro,33.4449
05.19.2021,00.00,978,EUR,1,Euro,33.5319
05.20.2021,00.00,978,EUR,1,Euro,33.488
05.21.2021,00.00,978,EUR,1,Euro,33.5174
05.22.2021,00.00,978,EUR,1,Euro,33.5174
05.23.2021,00.00,978,EUR,1,Euro,33.5174
05.24.2021,00.00,978,EUR,1,Euro,33.4799
05.25.2021,00.00,978,EUR,1,Euro,33.4911
05.26.2021,00.00,978,EUR,1,Euro,33.6643
05.27.2021,00.00,978,EUR,1,Euro,33.6765
05.28.2021,00.00,978,EUR,1,Euro,33.5693
05.29.2021,00.00,978,EUR,1,Euro,33.5693
05.30.2021,00.00,978,EUR,1,Euro,33.5693
05.31.2021,00.00,978,EUR,1,Euro,33.3896
06.01.2021,00.00,978,EUR,1,Euro,33.5116
06.02.2021,00.00,978,EUR,1,Euro,33.5335
06.03.2021,00.00,978,EUR,1,Euro,33.3348
06.04.2021,00.00,978,EUR,1,Euro,33.2577
06.05.2021,00.00,978,EUR,1,Euro,33.2577
06.06.2021,00.00,978,EUR,1,Euro,33.2577
06.07.2021,00.00,978,EUR,1,Euro,33.0635
06.08.2021,00.00,978,EUR,1,Euro,33.0781
06.09.2021,00.00,978,EUR,1,Euro,33.1104
06.10.2021,00.00,978,EUR,1,Euro,33.0248
06.11.2021,00.00,978,EUR,1,Euro,32.989
06.12.2021,00.00,978,EUR,1,Euro,32.989
06.13.2021,00.00,978,EUR,1,Euro,32.989
06.14.2021,00.00,978,EUR,1,Euro,32.7905
06.15.2021,00.00,978,EUR,1,Euro,32.7053
06.16.2021,00.00,978,EUR,1,Euro,32.6166
06.17.2021,00.00,978,EUR,1,Euro,32.7722
06.18.2021,00.00,978,EUR,1,Euro,32.4424
06.19.2021,00.00,978,EUR,1,Euro,32.4424
06.20.2021,00.00,978,EUR,1,Euro,32.4424
06.21.2021,00.00,978,EUR,1,Euro,32.4424
06.22.2021,00.00,978,EUR,1,Euro,32.2882
06.23.2021,00.00,978,EUR,1,Euro,32.467
06.24.2021,00.00,978,EUR,1,Euro,32.6003
06.25.2021,00.00,978,EUR,1,Euro,32.7928
06.26.2021,00.00,978,EUR,1,Euro,32.7928
06.27.2021,00.00,978,EUR,1,Euro,32.7928
06.28.2021,00.00,978,EUR,1,Euro,32.7928
06.29.2021,00.00,978,EUR,1,Euro,32.7401
06.30.2021,00.00,978,EUR,1,Euro,32.3018
07.01.2021,00.00,978,EUR,1,Euro,32.3463
07.02.2021,00.00,978,EUR,1,Euro,32.5227
07.03.2021,00.00,978,EUR,1,Euro,32.5227
07.04.2021,00.00,978,EUR,1,Euro,32.5227
07.05.2021,00.00,978,EUR,1,Euro,32.4107
07.06.2021,00.00,978,EUR,1,Euro,32.3732
07.07.2021,00.00,978,EUR,1,Euro,32.2623
07.08.2021,00.00,978,EUR,1,Euro,32.291
07.09.2021,00.00,978,EUR,1,Euro,32.3191
07.10.2021,00.00,978,EUR,1,Euro,32.3191
07.11.2021,00.00,978,EUR,1,Euro,32.3191
07.12.2021,00.00,978,EUR,1,Euro,32.4056
07.13.2021,00.00,978,EUR,1,Euro,32.3459
07.14.2021,00.00,978,EUR,1,Euro,32.372
07.15.2021,00.00,978,EUR,1,Euro,32.2482
07.16.2021,00.00,978,EUR,1,Euro,32.2369
07.17.2021,00.00,978,EUR,1,Euro,32.2369
07.18.2021,00.00,978,EUR,1,Euro,32.2369
07.19.2021,00.00,978,EUR,1,Euro,32.141
07.20.2021,00.00,978,EUR,1,Euro,32.0313
07.21.2021,00.00,978,EUR,1,Euro,32.0344
07.22.2021,00.00,978,EUR,1,Euro,32.0607
07.23.2021,00.00,978,EUR,1,Euro,32.0343
07.24.2021,00.00,978,EUR,1,Euro,32.0343
07.25.2021,00.00,978,EUR,1,Euro,32.0343
07.26.2021,00.00,978,EUR,1,Euro,31.845
07.27.2021,00.00,978,EUR,1,Euro,31.8087
07.28.2021,00.00,978,EUR,1,Euro,31.7814
07.29.2021,00.00,978,EUR,1,Euro,31.7021
07.30.2021,00.00,978,EUR,1,Euro,31.9239
